log_id,batch_id,equip_id,plant_id,process_step,step_start,step_end,ideal_duration_minutes,actual_duration_minutes,downtime_minutes,outcome,run_time_minutes,availability,performance,quality,oee
LOG-000001,BCH-00001,EQ-101,PLT-001,Step 1 – Granulation,2024-01-01 09:33:10,2024-01-01 11:03:10,90,90.0,0.0,completed,90.0,0.9791,0.9809,0.9634,0.9252
LOG-000002,BCH-00001,EQ-102,PLT-001,Step 2 – Blending,2024-01-01 11:03:10,2024-01-01 12:03:10,60,60.0,0.0,completed,60.0,0.988,0.9797,0.9997,0.9677
LOG-000003,BCH-00001,EQ-103,PLT-001,Step 3 – Compression,2024-01-01 12:03:10,2024-01-01 14:03:10,120,120.0,0.0,completed,120.0,1.0,1.0,1.0,1.0
LOG-000004,BCH-00001,EQ-104,PLT-001,Step 4 – Coating,2024-01-01 14:03:10,2024-01-01 16:33:10,150,150.0,0.0,completed,150.0,1.0,1.0,0.9874,0.9874
LOG-000005,BCH-00002,EQ-101,PLT-001,Step 1 – Granulation,2024-01-01 11:00:18,2024-01-01 12:30:18,90,90.0,0.0,completed,90.0,1.0,0.9922,0.9688,0.9612
LOG-000006,BCH-00002,EQ-102,PLT-001,Step 2 – Blending,2024-01-01 12:30:18,2024-01-01 13:30:18,60,60.0,0.0,completed,60.0,0.9958,1.0,0.982,0.9779
LOG-000007,BCH-00002,EQ-103,PLT-001,Step 3 – Compression,2024-01-01 13:30:18,2024-01-01 16:24:35,120,174.3,54.3,completed,120.0,0.8919,0.8965,0.9732,0.7782
LOG-000008,BCH-00002,EQ-104,PLT-001,Step 4 – Coating,2024-01-01 16:24:35,2024-01-01 18:54:35,150,150.0,0.0,completed,150.0,1.0,1.0,0.9396,0.9396
LOG-000009,BCH-00003,EQ-101,PLT-001,Step 1 – Granulation,2024-01-01 20:48:07,2024-01-01 22:18:07,90,90.0,0.0,completed,90.0,1.0,1.0,0.9525,0.9525
LOG-000010,BCH-00003,EQ-102,PLT-001,Step 2 – Blending,2024-01-01 22:18:07,2024-01-01 23:18:07,60,60.0,0.0,completed,60.0,0.9468,1.0,1.0,0.9468
LOG-000011,BCH-00003,EQ-103,PLT-001,Step 3 – Compression,2024-01-01 23:18:07,2024-01-02 01:18:07,120,120.0,0.0,completed,120.0,1.0,0.9955,0.9932,0.9887
LOG-000012,BCH-00003,EQ-104,PLT-001,Step 4 – Coating,2024-01-02 01:18:07,2024-01-02 03:48:07,150,150.0,0.0,completed,150.0,1.0,1.0,1.0,1.0
LOG-000013,BCH-00004,EQ-101,PLT-001,Step 1 – Granulation,2024-01-02 13:01:54,2024-01-02 14:31:54,90,90.0,0.0,completed,90.0,0.9907,0.9902,0.9848,0.9661
LOG-000014,BCH-00004,EQ-102,PLT-001,Step 2 – Blending,2024-01-02 14:31:54,2024-01-02 15:31:54,60,60.0,0.0,completed,60.0,1.0,0.9839,0.9855,0.9696
LOG-000015,BCH-00004,EQ-103,PLT-001,Step 3 – Compression,2024-01-02 15:31:54,2024-01-02 17:31:54,120,120.0,0.0,completed,120.0,1.0,1.0,0.9804,0.9804
LOG-000016,BCH-00004,EQ-104,PLT-001,Step 4 – Coating,2024-01-02 17:31:54,2024-01-02 20:01:54,150,150.0,0.0,completed,150.0,1.0,1.0,0.9799,0.9799
LOG-000017,BCH-00005,EQ-101,PLT-001,Step 1 – Granulation,2024-01-03 06:31:41,2024-01-03 08:01:41,90,90.0,0.0,completed,90.0,0.9801,0.9984,0.9822,0.9611
LOG-000018,BCH-00005,EQ-102,PLT-001,Step 2 – Blending,2024-01-03 08:01:41,2024-01-03 09:01:41,60,60.0,0.0,completed,60.0,0.998,1.0,1.0,0.998
LOG-000019,BCH-00005,EQ-103,PLT-001,Step 3 – Compression,2024-01-03 09:01:41,2024-01-03 11:01:41,120,120.0,0.0,completed,120.0,1.0,1.0,0.9946,0.9946
LOG-000020,BCH-00005,EQ-104,PLT-001,Step 4 – Coating,2024-01-03 11:01:41,2024-01-03 13:31:41,150,150.0,0.0,completed,150.0,1.0,1.0,0.9806,0.9806
LOG-000021,BCH-00006,EQ-101,PLT-001,Step 1 – Granulation,2024-01-03 09:36:09,2024-01-03 11:28:43,90,112.6,22.6,completed,90.0,0.9388,0.9259,1.0,0.8692
LOG-000022,BCH-00006,EQ-102,PLT-001,Step 2 – Blending,2024-01-03 11:28:43,2024-01-03 13:32:57,60,124.2,64.2,completed,60.0,0.8508,0.8455,0.9965,0.7168
LOG-000023,BCH-00006,EQ-103,PLT-001,Step 3 – Compression,2024-01-03 13:32:57,2024-01-03 15:32:57,120,120.0,0.0,completed,120.0,0.9779,1.0,1.0,0.9779
LOG-000024,BCH-00006,EQ-104,PLT-001,Step 4 – Coating,2024-01-03 15:32:57,2024-01-03 18:02:57,150,150.0,0.0,completed,150.0,0.9982,0.9807,1.0,0.9789
LOG-000025,BCH-00007,EQ-101,PLT-001,Step 1 – Granulation,2024-01-03 14:52:37,2024-01-03 16:22:37,90,90.0,0.0,completed,90.0,1.0,1.0,0.999,0.999
LOG-000026,BCH-00007,EQ-102,PLT-001,Step 2 – Blending,2024-01-03 16:22:37,2024-01-03 17:22:37,60,60.0,0.0,completed,60.0,0.982,0.9808,1.0,0.9631
LOG-000027,BCH-00007,EQ-103,PLT-001,Step 3 – Compression,2024-01-03 17:22:37,2024-01-03 19:29:17,120,126.7,6.7,completed,120.0,0.973,0.9932,1.0,0.9664
