batch_id,plant_id,batch_start,batch_end,status,planned_duration_minutes
BCH-00001,PLT-001,2024-01-01 09:33:10,2024-01-01 16:33:10,completed,420
BCH-00002,PLT-001,2024-01-01 11:00:18,2024-01-01 18:54:35,completed,420
BCH-00003,PLT-001,2024-01-01 20:48:07,2024-01-02 03:48:07,completed,420
BCH-00004,PLT-001,2024-01-02 13:01:54,2024-01-02 20:01:54,completed,420
BCH-00005,PLT-001,2024-01-03 06:31:41,2024-01-03 13:31:41,completed,420
BCH-00006,PLT-001,2024-01-03 09:36:09,2024-01-03 18:02:57,completed,420
BCH-00007,PLT-001,2024-01-03 14:52:37,2024-01-03 21:59:17,completed,420
BCH-00008,PLT-001,2024-01-04 02:28:04,2024-01-04 09:28:04,completed,420
BCH-00009,PLT-001,2024-01-04 18:37:45,2024-01-05 01:37:45,completed,420
BCH-00010,PLT-001,2024-01-04 22:50:33,2024-01-05 05:50:33,completed,420
BCH-00011,PLT-001,2024-01-05 10:28:54,2024-01-05 17:40:16,completed,420
BCH-00012,PLT-001,2024-01-06 09:49:35,2024-01-06 16:49:35,completed,420
BCH-00013,PLT-001,2024-01-08 07:38:33,2024-01-08 14:38:33,completed,420
BCH-00014,PLT-001,2024-01-08 08:27:37,2024-01-08 15:27:37,completed,420
BCH-00015,PLT-001,2024-01-08 16:21:57,2024-01-08 23:21:57,completed,420
BCH-00016,PLT-001,2024-01-09 21:06:40,2024-01-10 04:06:40,completed,420
BCH-00017,PLT-001,2024-01-10 03:46:15,2024-01-10 10:46:15,completed,420
BCH-00018,PLT-001,2024-01-10 06:55:48,2024-01-10 07:23:37,aborted,420
BCH-00019,PLT-001,2024-01-10 08:53:38,2024-01-10 15:53:38,completed,420
BCH-00020,PLT-001,2024-01-10 14:44:15,2024-01-10 21:55:32,completed,420
BCH-00021,PLT-001,2024-01-10 22:14:34,2024-01-11 05:14:34,completed,420
BCH-00022,PLT-001,2024-01-11 02:00:37,2024-01-11 09:21:50,completed,420
BCH-00023,PLT-001,2024-01-11 03:11:49,2024-01-11 10:11:49,completed,420
BCH-00024,PLT-001,2024-01-11 17:10:56,2024-01-12 00:10:56,completed,420
BCH-00025,PLT-001,2024-01-11 20:01:30,2024-01-12 05:33:57,completed,420
BCH-00026,PLT-001,2024-01-12 02:47:06,2024-01-12 09:52:06,completed,420
BCH-00027,PLT-001,2024-01-12 22:56:28,2024-01-13 06:10:33,completed,420
BCH-00028,PLT-001,2024-01-17 23:03:18,2024-01-18 06:03:18,completed,420
BCH-00029,PLT-001,2024-01-18 10:21:45,2024-01-18 17:21:45,completed,420
BCH-00030,PLT-001,2024-01-19 13:30:40,2024-01-19 20:30:40,completed,420
BCH-00031,PLT-001,2024-01-19 14:05:28,2024-01-19 23:43:21,completed,420
BCH-00032,PLT-001,2024-01-19 16:44:56,2024-01-19 23:44:56,completed,420
BCH-00033,PLT-001,2024-01-19 23:38:56,2024-01-20 07:34:49,completed,420
BCH-00034,PLT-001,2024-01-20 19:11:11,2024-01-21 02:19:39,completed,420
BCH-00035,PLT-001,2024-01-22 02:18:37,2024-01-22 09:20:49,aborted,420
BCH-00036,PLT-001,2024-01-22 08:57:39,2024-01-22 15:57:39,completed,420
BCH-00037,PLT-001,2024-01-22 15:10:37,2024-01-22 22:10:37,completed,420
BCH-00038,PLT-001,2024-01-24 09:59:40,2024-01-24 17:04:40,completed,420
BCH-00039,PLT-001,2024-01-24 16:07:51,2024-01-24 23:12:51,completed,420
BCH-00040,PLT-001,2024-01-26 11:44:52,2024-01-26 19:37:06,completed,420
BCH-00041,PLT-001,2024-01-26 18:24:38,2024-01-27 01:32:10,completed,420
BCH-00042,PLT-001,2024-01-27 02:08:36,2024-01-27 09:08:36,completed,420
BCH-00043,PLT-001,2024-01-27 03:19:53,2024-01-27 11:39:45,completed,420
BCH-00044,PLT-001,2024-01-27 16:53:50,2024-01-27 23:53:50,completed,420
BCH-00045,PLT-001,2024-01-27 19:23:33,2024-01-28 02:23:33,completed,420
BCH-00046,PLT-001,2024-01-27 23:10:40,2024-01-28 06:36:53,completed,420
BCH-00047,PLT-001,2024-01-28 06:22:01,2024-01-28 14:41:22,completed,420
BCH-00048,PLT-001,2024-01-28 16:32:03,2024-01-28 23:32:03,completed,420
BCH-00049,PLT-001,2024-01-28 23:07:16,2024-01-29 06:19:33,completed,420
BCH-00050,PLT-001,2024-01-29 12:08:03,2024-01-29 19:08:03,completed,420
BCH-00051,PLT-001,2024-01-30 08:20:21,2024-01-30 15:20:21,completed,420
BCH-00052,PLT-001,2024-01-30 11:08:07,2024-01-30 18:18:28,completed,420
BCH-00053,PLT-001,2024-01-31 02:50:36,2024-01-31 09:50:36,completed,420
BCH-00054,PLT-001,2024-02-01 04:07:49,2024-02-01 11:21:39,completed,420
BCH-00055,PLT-001,2024-02-01 11:17:04,2024-02-01 18:17:04,completed,420
BCH-00056,PLT-001,2024-02-01 11:38:20,2024-02-01 18:44:12,completed,420
BCH-00057,PLT-001,2024-02-01 20:28:25,2024-02-02 03:39:37,completed,420
