downtime_id,batch_id,equip_id,plant_id,reason,start_timestamp,duration_minutes
DT-000001,BCH-00006,EQ-101,PLT-001,Pneumatic failure,2024-01-03 09:59:27,8.2
DT-000002,BCH-00006,EQ-102,PLT-001,Sensor malfunction,2024-01-03 12:11:57,17.2
DT-000003,BCH-00007,EQ-103,PLT-001,Scheduled maintenance overrun,2024-01-03 17:45:19,1.0
DT-000004,BCH-00025,EQ-101,PLT-001,Scheduled maintenance overrun,2024-01-11 20:30:07,11.4
DT-000005,BCH-00025,EQ-101,PLT-001,Electrical fault,2024-01-11 20:20:33,20.9
DT-000006,BCH-00025,EQ-104,PLT-001,Scheduled maintenance overrun,2024-01-12 04:08:55,6.7
DT-000007,BCH-00026,EQ-101,PLT-001,Electrical fault,2024-01-12 04:09:08,1.1
DT-000008,BCH-00027,EQ-102,PLT-001,Sensor malfunction,2024-01-13 00:49:54,1.0
DT-000009,BCH-00031,EQ-104,PLT-001,Electrical fault,2024-01-19 21:37:48,9.6
DT-000010,BCH-00033,EQ-104,PLT-001,Electrical fault,2024-01-20 05:05:22,16.5
DT-000011,BCH-00039,EQ-103,PLT-001,Electrical fault,2024-01-24 19:55:05,1.3
DT-000012,BCH-00041,EQ-102,PLT-001,Mechanical failure,2024-01-26 20:36:41,2.9
DT-000013,BCH-00043,EQ-101,PLT-001,Electrical fault,2024-01-27 03:59:16,1.6
DT-000014,BCH-00043,EQ-103,PLT-001,Electrical fault,2024-01-27 07:11:31,2.7
DT-000015,BCH-00046,EQ-102,PLT-001,Mechanical failure,2024-01-28 01:11:11,6.7
DT-000016,BCH-00046,EQ-103,PLT-001,Sensor malfunction,2024-01-28 03:27:16,3.5
DT-000017,BCH-00047,EQ-101,PLT-001,Pneumatic failure,2024-01-28 06:42:48,32.3
DT-000018,BCH-00049,EQ-103,PLT-001,Scheduled maintenance overrun,2024-01-29 02:52:37,1.0
DT-000019,BCH-00057,EQ-101,PLT-001,Pneumatic failure,2024-02-01 21:27:41,3.6
DT-000020,BCH-00058,EQ-101,PLT-001,Mechanical failure,2024-02-02 00:08:14,2.3
DT-000021,BCH-00059,EQ-103,PLT-001,Sensor malfunction,2024-02-03 12:38:02,8.5
DT-000022,BCH-00059,EQ-103,PLT-001,Sensor malfunction,2024-02-03 13:55:44,7.6
DT-000023,BCH-00060,EQ-102,PLT-001,Sensor malfunction,2024-02-03 23:26:43,26.2
DT-000024,BCH-00060,EQ-102,PLT-001,Electrical fault,2024-02-03 23:33:33,13.9
DT-000025,BCH-00060,EQ-104,PLT-001,Sensor malfunction,2024-02-04 04:20:02,2.7
DT-000026,BCH-00061,EQ-101,PLT-001,Electrical fault,2024-02-04 03:00:06,15.1
DT-000027,BCH-00061,EQ-101,PLT-001,Electrical fault,2024-02-04 02:30:34,10.7
