incident_id,batch_id,equip_id,plant_id,reason,timestamp,severity
INC-000001,BCH-00002,EQ-103,PLT-001,Operator near-miss,2024-01-01 14:20:31,Low
INC-000002,BCH-00002,EQ-104,PLT-001,Temperature spike,2024-01-01 17:09:14,Low
INC-000003,BCH-00004,EQ-102,PLT-001,Temperature spike,2024-01-02 14:43:32,Medium
INC-000004,BCH-00006,EQ-103,PLT-001,Pressure deviation,2024-01-03 14:36:12,Low
INC-000005,BCH-00006,EQ-103,PLT-001,Unusual vibration,2024-01-03 15:23:03,Low
INC-000006,BCH-00009,EQ-104,PLT-001,Temperature spike,2024-01-05 00:31:02,Low
INC-000007,BCH-00015,EQ-102,PLT-001,Unusual vibration,2024-01-08 18:49:54,Low
INC-000008,BCH-00016,EQ-103,PLT-001,Temperature spike,2024-01-10 00:34:04,Low
INC-000009,BCH-00019,EQ-102,PLT-001,Temperature spike,2024-01-10 11:11:49,Low
INC-000010,BCH-00020,EQ-103,PLT-001,Temperature spike,2024-01-10 18:21:57,Low
INC-000011,BCH-00021,EQ-102,PLT-001,Operator near-miss,2024-01-11 00:41:23,High
INC-000012,BCH-00023,EQ-102,PLT-001,Pressure deviation,2024-01-11 05:18:59,Low
INC-000013,BCH-00028,EQ-104,PLT-001,Strange noise,2024-01-18 03:42:00,Low
INC-000014,BCH-00028,EQ-104,PLT-001,Pressure deviation,2024-01-18 04:20:20,Low
INC-000015,BCH-00030,EQ-104,PLT-001,Unusual vibration,2024-01-19 19:08:29,Low
INC-000016,BCH-00031,EQ-101,PLT-001,Strange noise,2024-01-19 14:31:44,Low
INC-000017,BCH-00034,EQ-103,PLT-001,Operator near-miss,2024-01-20 23:15:37,Low
INC-000018,BCH-00035,EQ-102,PLT-001,Operator near-miss,2024-01-22 03:55:18,Medium
INC-000019,BCH-00036,EQ-102,PLT-001,Operator near-miss,2024-01-22 11:07:38,Low
INC-000020,BCH-00036,EQ-103,PLT-001,Unusual vibration,2024-01-22 12:22:56,Medium
INC-000021,BCH-00037,EQ-104,PLT-001,Pressure deviation,2024-01-22 19:55:15,Medium
INC-000022,BCH-00040,EQ-101,PLT-001,Operator near-miss,2024-01-26 12:24:38,Low
INC-000023,BCH-00040,EQ-104,PLT-001,Temperature spike,2024-01-26 16:57:19,Low
INC-000024,BCH-00041,EQ-101,PLT-001,Pressure deviation,2024-01-26 18:39:15,Low
INC-000025,BCH-00041,EQ-102,PLT-001,Pressure deviation,2024-01-26 20:27:24,High
INC-000026,BCH-00042,EQ-101,PLT-001,Unusual vibration,2024-01-27 02:15:14,Medium
INC-000027,BCH-00043,EQ-102,PLT-001,Operator near-miss,2024-01-27 06:08:58,Medium
INC-000028,BCH-00043,EQ-104,PLT-001,Unusual vibration,2024-01-27 09:55:45,High
INC-000029,BCH-00043,EQ-104,PLT-001,Temperature spike,2024-01-27 10:13:31,Low
INC-000030,BCH-00044,EQ-101,PLT-001,Strange noise,2024-01-27 16:57:29,Low
INC-000031,BCH-00044,EQ-104,PLT-001,Temperature spike,2024-01-27 21:28:55,Low
INC-000032,BCH-00045,EQ-103,PLT-001,Pressure deviation,2024-01-27 22:46:58,High
INC-000033,BCH-00047,EQ-101,PLT-001,Pressure deviation,2024-01-28 07:32:02,Low
INC-000034,BCH-00049,EQ-101,PLT-001,Strange noise,2024-01-29 00:22:27,Medium
INC-000035,BCH-00050,EQ-103,PLT-001,Strange noise,2024-01-29 14:47:21,Low
INC-000036,BCH-00050,EQ-103,PLT-001,Temperature spike,2024-01-29 16:15:45,Low
INC-000037,BCH-00051,EQ-104,PLT-001,Temperature spike,2024-01-30 14:25:44,Low
INC-000038,BCH-00052,EQ-103,PLT-001,Unusual vibration,2024-01-30 14:00:05,Low
INC-000039,BCH-00054,EQ-104,PLT-001,Strange noise,2024-02-01 09:23:36,Medium
INC-000040,BCH-00055,EQ-104,PLT-001,Operator near-miss,2024-02-01 16:15:50,Low
INC-000041,BCH-00056,EQ-104,PLT-001,Pressure deviation,2024-02-01 16:51:36,Low
INC-000042,BCH-00058,EQ-104,PLT-001,Unusual vibration,2024-02-02 05:43:58,Low
INC-000043,BCH-00058,EQ-104,PLT-001,Temperature spike,2024-02-02 06:40:05,Medium
INC-000044,BCH-00060,EQ-104,PLT-001,Operator near-miss,2024-02-04 04:11:59,High
INC-000045,BCH-00061,EQ-104,PLT-001,Strange noise,2024-02-04 09:43:04,Medium
INC-000046,BCH-00061,EQ-104,PLT-001,Operator near-miss,2024-02-04 09:39:55,Low
INC-000047,BCH-00063,EQ-101,PLT-001,Temperature spike,2024-02-05 13:20:54,Low
INC-000048,BCH-00065,EQ-101,PLT-001,Strange noise,2024-02-06 03:54:36,Low
INC-000049,BCH-00067,EQ-102,PLT-001,Pressure deviation,2024-02-07 04:02:15,Low
INC-000050,BCH-00067,EQ-102,PLT-001,Temperature spike,2024-02-07 03:38:58,Medium
INC-000051,BCH-00068,EQ-103,PLT-001,Temperature spike,2024-02-07 12:30:20,Medium
INC-000052,BCH-00072,EQ-104,PLT-001,Temperature spike,2024-02-09 12:31:50,Medium
INC-000053,BCH-00072,EQ-104,PLT-001,Temperature spike,2024-02-09 12:40:43,Low
INC-000054,BCH-00073,EQ-101,PLT-001,Strange noise,2024-02-09 17:22:59,Medium
INC-000055,BCH-00075,EQ-102,PLT-001,Unusual vibration,2024-02-09 20:23:32,Medium
INC-000056,BCH-00075,EQ-103,PLT-001,Operator near-miss,2024-02-09 21:57:10,Low
INC-000057,BCH-00076,EQ-102,PLT-001,Operator near-miss,2024-02-10 07:48:07,Low
INC-000058,BCH-00076,EQ-103,PLT-001,Operator near-miss,2024-02-10 10:14:50,High
INC-000059,BCH-00080,EQ-101,PLT-001,Pressure deviation,2024-02-12 08:41:26,Low
INC-000060,BCH-00083,EQ-101,PLT-001,Strange noise,2024-02-14 00:05:32,Medium
INC-000061,BCH-00084,EQ-102,PLT-001,Pressure deviation,2024-02-14 08:45:15,Low
INC-000062,BCH-00084,EQ-102,PLT-001,Strange noise,2024-02-14 08:39:18,Low
INC-000063,BCH-00085,EQ-104,PLT-001,Strange noise,2024-02-14 14:31:08,Low
INC-000064,BCH-00087,EQ-102,PLT-001,Strange noise,2024-02-16 08:52:38,Low
INC-000065,BCH-00087,EQ-104,PLT-001,Pressure deviation,2024-02-16 12:55:21,Medium
INC-000066,BCH-00092,EQ-104,PLT-001,Unusual vibration,2024-02-17 07:28:49,Medium
INC-000067,BCH-00093,EQ-102,PLT-001,Unusual vibration,2024-02-18 14:14:34,Medium
INC-000068,BCH-00093,EQ-103,PLT-001,Pressure deviation,2024-02-18 15:20:22,Low
INC-000069,BCH-00094,EQ-104,PLT-001,Pressure deviation,2024-02-19 14:20:35,Medium
INC-000070,BCH-00096,EQ-102,PLT-001,Unusual vibration,2024-02-20 18:41:31,Low
INC-000071,BCH-00096,EQ-104,PLT-001,Temperature spike,2024-02-20 22:38:57,Low
INC-000072,BCH-00097,EQ-101,PLT-001,Pressure deviation,2024-02-24 07:24:20,Low
INC-000073,BCH-00098,EQ-102,PLT-001,Unusual vibration,2024-02-24 18:13:34,Low
INC-000074,BCH-00098,EQ-103,PLT-001,Temperature spike,2024-02-24 19:56:36,Low
INC-000075,BCH-00101,EQ-103,PLT-001,Operator near-miss,2024-02-26 17:47:51,Low
INC-000076,BCH-00102,EQ-104,PLT-001,Strange noise,2024-02-26 23:11:16,Medium
INC-000077,BCH-00103,EQ-101,PLT-001,Pressure deviation,2024-02-26 22:59:18,Low
INC-000078,BCH-00103,EQ-104,PLT-001,Operator near-miss,2024-02-27 06:16:16,High
INC-000079,BCH-00104,EQ-101,PLT-001,Pressure deviation,2024-02-27 17:20:26,High
INC-000080,BCH-00105,EQ-101,PLT-001,Strange noise,2024-02-27 19:55:02,Medium
INC-000081,BCH-00105,EQ-103,PLT-001,Strange noise,2024-02-27 21:47:41,Low
INC-000082,BCH-00105,EQ-103,PLT-001,Pressure deviation,2024-02-27 22:33:27,Medium
INC-000083,BCH-00106,EQ-101,PLT-001,Strange noise,2024-02-29 20:27:02,Low
INC-000084,BCH-00107,EQ-103,PLT-001,Operator near-miss,2024-03-01 14:43:41,Medium
INC-000085,BCH-00110,EQ-101,PLT-001,Unusual vibration,2024-03-03 03:31:43,Medium
INC-000086,BCH-00110,EQ-102,PLT-001,Temperature spike,2024-03-03 05:06:26,Low
INC-000087,BCH-00110,EQ-102,PLT-001,Unusual vibration,2024-03-03 04:45:42,Low
INC-000088,BCH-00110,EQ-103,PLT-001,Operator near-miss,2024-03-03 07:10:13,Low
INC-000089,BCH-00110,EQ-103,PLT-001,Unusual vibration,2024-03-03 06:05:57,Medium
INC-000090,BCH-00111,EQ-103,PLT-001,Temperature spike,2024-03-03 20:07:50,Medium
INC-000091,BCH-00116,EQ-101,PLT-001,Unusual vibration,2024-03-07 13:43:02,Medium
INC-000092,BCH-00118,EQ-101,PLT-001,Pressure deviation,2024-03-08 19:52:18,Low
INC-000093,BCH-00119,EQ-104,PLT-001,Strange noise,2024-03-09 06:15:34,Medium
INC-000094,BCH-00120,EQ-102,PLT-001,Temperature spike,2024-03-10 17:58:04,Low
INC-000095,BCH-00122,EQ-102,PLT-001,Strange noise,2024-03-11 13:40:37,High
INC-000096,BCH-00122,EQ-102,PLT-001,Operator near-miss,2024-03-11 13:35:01,High
INC-000097,BCH-00122,EQ-104,PLT-001,Pressure deviation,2024-03-11 16:55:43,Low
INC-000098,BCH-00124,EQ-101,PLT-001,Temperature spike,2024-03-12 00:57:28,Low
INC-000099,BCH-00124,EQ-101,PLT-001,Temperature spike,2024-03-12 01:36:09,Low
INC-000100,BCH-00125,EQ-101,PLT-001,Strange noise,2024-03-12 04:20:14,Medium
INC-000101,BCH-00125,EQ-103,PLT-001,Pressure deviation,2024-03-12 07:15:19,Medium
INC-000102,BCH-00125,EQ-104,PLT-001,Temperature spike,2024-03-12 08:54:40,Low
INC-000103,BCH-00126,EQ-103,PLT-001,Pressure deviation,2024-03-13 20:46:25,High
INC-000104,BCH-00127,EQ-104,PLT-001,Temperature spike,2024-03-14 02:18:02,Medium
INC-000105,BCH-00128,EQ-102,PLT-001,Pressure deviation,2024-03-14 00:42:05,Medium
INC-000106,BCH-00128,EQ-104,PLT-001,Unusual vibration,2024-03-14 05:07:54,Low
INC-000107,BCH-00129,EQ-104,PLT-001,Pressure deviation,2024-03-14 20:37:55,Medium
INC-000108,BCH-00131,EQ-101,PLT-001,Temperature spike,2024-03-15 18:50:15,High
INC-000109,BCH-00131,EQ-101,PLT-001,Operator near-miss,2024-03-15 17:57:13,Low
INC-000110,BCH-00138,EQ-103,PLT-001,Strange noise,2024-03-18 17:16:10,Low
INC-000111,BCH-00139,EQ-101,PLT-001,Unusual vibration,2024-03-19 00:07:21,Low
INC-000112,BCH-00139,EQ-101,PLT-001,Operator near-miss,2024-03-19 00:16:25,Low
INC-000113,BCH-00139,EQ-104,PLT-001,Pressure deviation,2024-03-19 04:50:09,Low
INC-000114,BCH-00140,EQ-102,PLT-001,Operator near-miss,2024-03-19 06:13:08,Low
INC-000115,BCH-00140,EQ-102,PLT-001,Pressure deviation,2024-03-19 06:20:11,Medium
INC-000116,BCH-00144,EQ-101,PLT-001,Temperature spike,2024-03-20 19:05:41,Medium
INC-000117,BCH-00144,EQ-101,PLT-001,Temperature spike,2024-03-20 18:05:00,Low
INC-000118,BCH-00145,EQ-104,PLT-001,Pressure deviation,2024-03-21 05:04:28,Low
INC-000119,BCH-00150,EQ-103,PLT-001,Strange noise,2024-03-21 20:44:36,Medium
INC-000120,BCH-00151,EQ-102,PLT-001,Strange noise,2024-03-22 03:34:43,Low
INC-000121,BCH-00151,EQ-102,PLT-001,Pressure deviation,2024-03-22 02:56:45,Low
INC-000122,BCH-00152,EQ-101,PLT-001,Strange noise,2024-03-22 09:57:19,Low
INC-000123,BCH-00152,EQ-104,PLT-001,Operator near-miss,2024-03-22 15:00:01,High
INC-000124,BCH-00153,EQ-102,PLT-001,Pressure deviation,2024-03-22 17:28:18,Medium
INC-000125,BCH-00153,EQ-103,PLT-001,Strange noise,2024-03-22 18:16:16,Low
INC-000126,BCH-00154,EQ-101,PLT-001,Strange noise,2024-03-23 04:29:40,High
INC-000127,BCH-00155,EQ-102,PLT-001,Strange noise,2024-03-23 07:05:48,Low
INC-000128,BCH-00156,EQ-101,PLT-001,Temperature spike,2024-03-24 05:03:54,Low
INC-000129,BCH-00157,EQ-102,PLT-001,Operator near-miss,2024-03-24 07:59:00,Low
INC-000130,BCH-00157,EQ-102,PLT-001,Strange noise,2024-03-24 08:16:51,Medium
INC-000131,BCH-00158,EQ-101,PLT-001,Pressure deviation,2024-03-24 08:43:31,Low
INC-000132,BCH-00158,EQ-104,PLT-001,Operator near-miss,2024-03-24 15:32:43,Low
INC-000133,BCH-00159,EQ-101,PLT-001,Temperature spike,2024-03-24 18:16:38,Low
INC-000134,BCH-00160,EQ-103,PLT-001,Pressure deviation,2024-03-24 22:41:03,Medium
INC-000135,BCH-00160,EQ-104,PLT-001,Strange noise,2024-03-25 03:31:12,Low
INC-000136,BCH-00161,EQ-104,PLT-001,Strange noise,2024-03-25 10:09:30,Medium
INC-000137,BCH-00162,EQ-102,PLT-001,Temperature spike,2024-03-25 15:59:00,Low
INC-000138,BCH-00162,EQ-104,PLT-001,Temperature spike,2024-03-25 19:55:28,Medium
INC-000139,BCH-00163,EQ-103,PLT-001,Strange noise,2024-03-26 07:22:08,Low
INC-000140,BCH-00163,EQ-104,PLT-001,Temperature spike,2024-03-26 10:37:03,Low
INC-000141,BCH-00164,EQ-102,PLT-001,Strange noise,2024-03-27 02:18:29,Low
INC-000142,BCH-00167,EQ-101,PLT-001,Pressure deviation,2024-03-30 04:28:52,Medium
INC-000143,BCH-00167,EQ-104,PLT-001,Operator near-miss,2024-03-30 11:41:35,Medium
INC-000144,BCH-00168,EQ-102,PLT-001,Pressure deviation,2024-03-30 07:34:34,Medium
INC-000145,BCH-00169,EQ-101,PLT-001,Temperature spike,2024-03-30 14:06:12,Medium
INC-000146,BCH-00169,EQ-101,PLT-001,Strange noise,2024-03-30 13:54:06,Low
INC-000147,BCH-00169,EQ-102,PLT-001,Strange noise,2024-03-30 15:24:54,Low
INC-000148,BCH-00169,EQ-103,PLT-001,Unusual vibration,2024-03-30 16:53:59,Low
INC-000149,BCH-00169,EQ-104,PLT-001,Strange noise,2024-03-30 19:57:13,High
